Story,Area,Code,Definition of Done,Dependencies,Epic,Exit Criteria,Horizon,Legacy Source,Order,Prefix,Priority,Repo Evidence,Source GDD,Spec State,Status,Summary,System Area,Theme,Type,Wave
"Lock each stage instance on first entry and hide exact objective, hazard, and encounter details until the player discovers them.",Realm / Tactical,V2-STAGE-001,Unresolved stages preserve layout and reveal state across reruns; new generation only occurs on later realm replay; hidden/known state is saved safely.,V2-MIG-002,Persistent Stage Framework,"Stage persistence works as a V2 foundation seam for intel, scouting, and consequences.",Alignment,STAGE-001,110,STAGE,P0,core/state/flow/states/venture/http://FlowStageMapState.gd; core/state/flow/states/venture/http://FlowStageState.gd; core/save/http://SaveSchema.gd,V2 GDD procedural stage model with lock-on-entry persistence,Locked,Superseded,Superseded duplicate of V2-STAGE-001. Canonical card: 339c3d1e-de92-8124-a5a3-cca8e8076542.,DIRECTIVE / INTEL / STAGE,,Rewrite,Alignment
Replace the current generic starter directive surface with the locked V2 opening pair Scout Carefully and Seek Signs.,Realm / Tactical,V2-DIRECTIVE-001,"Both starter directives are selectable, persisted into stage context, and visibly change scouting/survival outcomes without adding a second directive architecture.",V2-MIG-002,Stage Influence Layer,The first realm run starts from V2 directive truth and no player-facing surface references obsolete directive framing.,Alignment,"DIRECTIVE-001, DIRECTIVE-002, DIRECTIVE-003",100,DIRECTIVE,P0,core/directives/http://DirectiveService.gd; core/state/flow/http://FlowStateMachine.gd,V2 GDD locked starter directive pair,Locked,Superseded,Superseded duplicate of V2-DIRECTIVE-001. Canonical card: 339c3d1e-de92-81e2-bd6b-e14b2c85c3ce.,DIRECTIVE / INTEL / STAGE,,Rewrite,Alignment
"Carry forward the opening economy cadence work so awakening, first summons, early runs, and offline Ase unlock timing match the V2 foundation loop.",Economy / Support,V2-ECONOMY-001,"Awakening grant, first-summon pressure, stage payouts, withdrawal value, and offline unlock timing feel tense without stalling the early loop.",V2-MIG-002,Economy Cadence,Early sessions can progress through pressure and partial success without economy dead-ends.,Alignment,ECONOMY-005,140,ECONOMY,P0,core/economy/http://EconomyService.gd; core/state/flow/states/sanctum/http://FlowSummonState.gd; ui/screens/sanctum/http://SanctumScreen.gd,"V2 GDD awakening, early loop tension, and offline Ase flame recovery",Mostly Locked,Superseded,Superseded duplicate of V2-ECONOMY-001. Canonical card: 339c3d1e-de92-81fc-8fae-ed378257be5e.,ECONOMY / EMOTION / COMBAT,,Carryover,Alignment
Carry forward the lightweight bond and rivalry graph as a runtime rail so V2 social consequence can build on an existing deterministic relationship model.,Sanctum,V2-BOND-001,"The backlog keeps the bond graph as a first-class seam with clear V2 intent, data ownership, and downstream consequence uses.",V2-SANCTUM-001,Social Consequence Rail,Future bond stories can build on current relationship storage without redesigning the core graph.,Alignment,BOND-001,160,BOND,P1,core/sanctum/http://SocialGraphService.gd; ui/components/http://BondTierBar.gd,V2 GDD bonds as wholeness pressure and house consequence,Locked,Ready,"Retain the implemented relationship graph as a foundational rail, but stop treating it as flavor-only data and position it for V2 rescue, refusal, grief, and trust effects.",SANCTUM / BOND / VOW / VOICE,,Carryover,Alignment
"Carry forward the emotion readability rail so fear and morale are legible before, during, and after a run without exposing noisy formulas.",Economy / Support,V2-EMOTION-001,"Stage, encounter, resolve, and Sanctum return surfaces show key fear/morale deltas and causes in a compact way; no formula dump is required.",V2-MIG-002,Echo Consequence Layer,"A player can explain why an Echo hesitated, broke, or recovered by reading the game state.",Alignment,EMOTION-003,130,EMOTION,P0,core/emotion/http://EmotionService.gd; core/state/flow/states/sanctum/http://FlowSanctumState.gd,V2 GDD pressure spine and visible consequence requirements,Mostly Locked,Superseded,Superseded duplicate of V2-EMOTION-001. Canonical card: 339c3d1e-de92-8188-97cb-e53e9773eabb.,ECONOMY / EMOTION / COMBAT,,Carryover,Alignment
Carry forward deterministic vow tracking as a rail so V2 vow pressure has enforceable state instead of becoming pure flavor text.,Sanctum,V2-VOW-001,"Active vow state, violation conditions, and release outcomes are explicit enough to power future doctrine and aftermath stories.",V2-SANCTUM-001,Doctrine Rail,Vows remain enforceable system state and not just narrative labeling.,Alignment,VOW-001,170,VOW,P1,core/sanctum/http://VowService.gd; core/actors/behaviors/http://BehaviorArbiter.gd; core/state/flow/states/sanctum/http://FlowVowState.gd,V2 GDD vows as Keeper promises and doctrine overlays,Locked,Ready,"Keep the deterministic vow violation seam from the old backlog, but reinterpret it as doctrine pressure tracking for Keeper promises.",SANCTUM / BOND / VOW / VOICE,,Carryover,Alignment
"Add an additive V2 save schema bridge so Storyweight, Standing, Step, Threads, Continuity, and stage-intel persistence can ship without breaking live saves.",Foundation / Migration,V2-MIG-002,New saves persist additive V2 roots; old saves repair deterministically; continue flow remains valid; repair coverage exists for create/load/upgrade.,V2-MIG-001,Save and Runtime Bridge,The repo can store V2 fields without rewriting the active gameplay loop or invalidating existing saves.,Alignment,INFRA-001,15,MIGRATION,P0,core/save/http://SaveSchema.gd; core/save/http://SaveService.gd,V2 GDD progression/state migration and accepted save-repair rails,Locked,Ready,Extend the save contract with additive V2 roots and deterministic repair paths so migration work can happen in thin slices instead of one hard cutover.,INFRA / MIGRATION,,Migration,Alignment
Add the first visible Continuity spine so returned Threads and handled house consequences can start unlocking the earliest institution candidates.,Sanctum,V2-CONTINUITY-001,Save or snapshot exposes Continuity; early events or returned Threads can move it; first unlock candidates can surface without full building sim.,"V2-WEAVE-002, V2-SANCTUM-001",House Growth Seed,Sanctum progression has a V2 spine that future institutions can depend on.,Foundation,SANCTUM-BLD-001 superseded; preserve only the institution-state rail,190,CONTINUITY,P1,core/state/flow/states/sanctum/http://FlowSanctumState.gd; ui/screens/sanctum/http://SanctumScreen.gd,V2 GDD Continuity as Sanctum progression spine,Locked,Superseded,Superseded duplicate of V2-CONTINUITY-001. Canonical card: 339c3d1e-de92-818c-a4dd-e86e05bacba9.,SANCTUM / BOND / VOW / VOICE,,New,Foundation
Carry forward the post-run house consequence rail so every return to Sanctum surfaces what changed in the house and in the people.,Sanctum,V2-SANCTUM-001,"Every stage return can show a compact consequence pass covering resources, emotion, intel, and house change before normal Sanctum navigation resumes.","V2-INTEL-001, V2-EMOTION-001, V2-ECONOMY-001",Sanctum Feedback Loop,The house no longer feels like a neutral reset screen after realm play.,Alignment,SANCTUM-004,150,SANCTUM,P0,core/state/flow/states/sanctum/http://FlowSanctumState.gd; core/state/flow/states/http://FlowResolveState.gd,"V2 GDD Continuity spine, Sanctum pulse model, and post-stage fallout",Mostly Locked,Ready,"Preserve the valuable old idea that Sanctum should answer every run with visible change, but route it through V2 consequence and pulse language instead of generic hub feedback.",SANCTUM / BOND / VOW / VOICE,,Carryover,Alignment
"Formalize initiative-adjacent consequence routing so directives do not directly modify initiative, but bonds, vows, fear, morale, and presence change what happens after initiative.",Realm / Tactical,V2-COMBAT-001,"Deterministic tests cover guard, rescue, hesitation, target changes, and refusal interactions after initiative is set, and snapshots make those outcomes legible.","V2-DIRECTIVE-001, V2-EMOTION-001, V2-BOND-002, V2-VOW-002",Pressure Collision Rules,Pressure systems affect combat behavior coherently without violating the locked initiative rule.,Foundation,COMBAT-008,180,COMBAT,P1,core/combat/http://CombatState.gd; core/actors/http://ActorStateMachine.gd; core/state/flow/states/venture/http://FlowEncounterState.gd,V2 GDD initiative as readiness and downstream pressure behavior,Locked,Superseded,Superseded duplicate of V2-COMBAT-001. Canonical card: 339c3d1e-de92-81ac-a40f-d9c2f802d385. Pressure-collision logic now lives separately in 339c3d1e-de92-8190-ad52-ce3f2a0620c8.,ECONOMY / EMOTION / COMBAT,,Carryover,Foundation
"Use the existing bark pipeline for high-signal refusal, omen, fear-spike, and aftermath lines so voice interprets consequence without owning simulation logic.",Narrative / Content,V2-VOICE-001,Combat and return flows surface context-appropriate barks at controlled cadence and no voice line is the source of simulation truth.,"V2-EMOTION-001, V2-COMBAT-001",Interpretive Feedback,Voice helps the player read pressure and becoming without replacing systemic state.,Foundation,"VOICE-001, VOICE-002",185,VOICE,P1,core/actors/http://ActorStateMachine.gd; core/echoes/http://ShoutBank.gd; core/state/flow/states/sanctum/http://FlowEchoPartyState.gd,V2 GDD expression layer and voice as interpretation,Mostly Locked,Ready,"Preserve the voice surface as a feedback seam, but relocate its meaning to V2 maturity-expression and current pressure instead of old calling/smartness framing.",SANCTUM / BOND / VOW / VOICE,,Carryover,Foundation
Unlock Hearth and Training Grounds as the first institution anchors so the house begins to feel culturally alive instead of menu-only.,Sanctum,V2-SANCTUM-002,"Hearth and Training Grounds can appear as unlock candidates, expose first passive effects, and change how the Sanctum reads even before a full jobs layer exists.","V2-CONTINUITY-001, V2-ECONOMY-001",First Institution Anchors,The house starts growing through V2 institutions rather than generic building slots.,Foundation,"SANCTUM-BLD-001, SANCTUM-BLD-002",200,SANCTUM,P2,ui/shells/http://SanctumShell.gd; ui/screens/sanctum/http://SanctumScreen.gd,V2 GDD early institution candidates Hearth and Training Grounds,Locked,Ready,Use the earliest Continuity band to surface the first real institution anchors and their first routine effects.,SANCTUM / BOND / VOW / VOICE,,New,Foundation
"Extend the bond rail into threshold-based combat and aftermath consequences so bonded Echoes protect, grieve, hesitate, and recover differently.",Sanctum,V2-BOND-002,Bond thresholds can alter combat choices or aftermath outputs and changes are visible on return to Sanctum.,"V2-BOND-001, V2-EMOTION-001, V2-SANCTUM-001",Echo Consequence Layer,Bonds have meaningful systemic consequence rather than remaining a decorative roster metric.,Foundation,BOND-002,165,BOND,P1,core/sanctum/http://SocialGraphService.gd; core/state/flow/states/sanctum/http://FlowEchoPartyState.gd,"V2 GDD bonds affecting wholeness, refusal, and recovery",Mostly Locked,Ready,Use the existing relationship graph to make social ties matter under pressure and after loss.,SANCTUM / BOND / VOW / VOICE,,New,Foundation
Surface active vow pressure during stages and clearly report release or break fallout when the party returns home.,Sanctum,V2-VOW-002,"The UI shows what a vow currently asks of the party and what was lost or gained when it was kept, bent, or broken.","V2-VOW-001, V2-EMOTION-001, V2-SANCTUM-001",Echo Consequence Layer,Players can trace vow effects through both stage pressure and post-run fallout.,Foundation,VOW-002,175,VOW,P1,core/sanctum/http://VowService.gd; core/state/flow/states/sanctum/http://FlowVowState.gd,V2 GDD vow pressure and aftermath consequences,Mostly Locked,Superseded,Superseded duplicate of V2-VOW-002. Canonical card: 339c3d1e-de92-8198-b7e4-ee2eb50629c5.,SANCTUM / BOND / VOW / VOICE,,Rewrite,Foundation
"Add a V2-ready save schema bridge so Storyweight, Standing, Step, Threads, Continuity, and stage persistence can land without breaking existing saves.",Foundation / Migration,V2-MIG-002,New saves include additive V2 roots; legacy saves repair deterministically on load; boot/continue flow remains valid; schema coverage includes create/load/repair.,V2-MIG-001,Schema Bridge,"Save contracts can hold V2 progression aliases, stage persistence, Thread reserve, and Continuity without blocking live play.",Alignment,INFRA-001,100,MIGRATION,P0,/Users/jeffreygyamfi/Sites/echoes-vnext/core/save/http://SaveSchema.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/save/http://SaveService.gd,Echoes vNext Working GDD V2: save repair and schema migration are accepted rails; progression and Continuity now need additive save roots.,Locked,Ready,Introduce additive V2 save fields and repair logic instead of attempting a destructive data reset.,INFRA / MIGRATION,Migration,Migration,Alignment
"Lock generated stages on first commitment and hide exact objective, hazard, and encounter details until discovered so stages become learnable spaces instead of disposable reveals.",Realm / Tactical,V2-STAGE-001,Unresolved stages preserve layout and reveal state across reruns; new generation happens only on later Realm replay; player-facing state distinguishes known from unknown information.,V2-MIG-002,Stage Influence Layer,Stage selection no longer exposes the whole puzzle upfront and failed runs can teach the player something stable.,Alignment,STAGE-001,120,STAGE,P0,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowStageMapState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowStageState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/save/http://SaveSchema.gd,"Echoes vNext Working GDD V2: stages are procedural until entry, then lock and persist through the run.",Locked,Ready,"Stage generation should become persistent, partially hidden, and rerun-readable.",DIRECTIVE / INTEL / STAGE,Stages,Rewrite,Alignment
"Deliver Hearth and Training Grounds as the first institution anchors with passive effects, first jobs, and pulse-facing warnings so the house starts feeling culturally alive.",Sanctum,V2-SANCTUM-003,"Hearth and Training Grounds unlock from Continuity plus readiness, affect routine or pulse output, and visibly change who spends time where in the house.","V2-CONTINUITY-001, V2-SANCTUM-002, V2-ECONOMY-001",House Growth Seed,The first institution layer feels like the start of a living Sanctum rather than a detached upgrade menu.,Post-Foundation,SANCTUM-BLD-002,400,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/shells/http://SanctumShell.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd,Echoes vNext Working GDD V2: Hearth and Training Grounds are the first institution candidates after the foundation spine exists.,Mostly Locked,Draft,Use the first institutions to move Sanctum from menu shell toward a living house.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Expansion
Carry forward institution state contracts so future Hearth and Training Grounds work can expand safely without rewiring Sanctum flow or rendering.,Sanctum,V2-SANCTUM-002,Institution definitions and state contracts exist as safe expansion seams; they do not assume generic building XP or ownership of progression; UI can reference them without rewiring flow.,V2-CONTINUITY-001,House Growth Seed,Hearth and Training Grounds can be added on top of stable institution data contracts.,Foundation,SANCTUM-BLD-001,240,SANCTUM,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/sanctum/http://SanctumSpatialRenderer.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/shells/http://SanctumShell.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd,"Echoes vNext Working GDD V2: institutions matter, but spatial visualization stays subordinate to house progression and pulse.",Mostly Locked,Ready,Preserve the useful old institution-definition seam while removing the old Sanctum leveling assumptions.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,Carryover,Foundation
Carry forward deterministic vow tracking so V2 vows still have enforceable teeth even before the full doctrine layer is built.,Sanctum,V2-VOW-001,"Active vow conditions are evaluated deterministically; violation, release, and compliance hooks stay queryable by run and Sanctum systems.",None,Echo Consequence Layer,Vows can exert reliable pressure before the full doctrine expansion lands.,Alignment,VOW-001,180,VOW,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/sanctum/http://VowService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/actors/behaviors/http://BehaviorArbiter.gd,"Echoes vNext Working GDD V2: vows remain keeper promises and doctrine overlays, so deterministic violation tracking still matters.",Mostly Locked,Ready,"Keep the old vow enforcement seam, but treat it as a runtime rail for the broader V2 doctrine model.",SANCTUM / BOND / VOW / VOICE,Vows,Carryover,Alignment
"Make fear and morale readable before, during, and after a run so the player can understand hesitation, refusal, collapse, and recovery without seeing raw formulas.",Economy / Support,V2-EMOTION-001,"Key thresholds, recent deltas, and main causes are surfaced in Stage, Encounter, Resolve, and Sanctum return states without exposing internal scoring noise.",None,Echo Consequence Layer,The player can answer why an Echo hesitated or broke and what changed after the run.,Alignment,"EMOTION-001, EMOTION-003",140,EMOTION,P0,/Users/jeffreygyamfi/Sites/echoes-vnext/core/emotion/http://EmotionService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowSanctumState.gd,"Echoes vNext Working GDD V2: pressure, morale, fear, and readiness should be legible across the loop.",Mostly Locked,Ready,"Improve emotional readability as a foundation for maturity-expression, vows, bonds, and combat aftermath.",ECONOMY / EMOTION / COMBAT,Emotion,Rewrite,Alignment
"Add the first visible Continuity spine so returned Threads, handled fallout, and house stability can start gating unlock candidates without full institution simulation.",Sanctum,V2-CONTINUITY-001,Save and snapshots expose a visible Continuity value or band; returned Threads and major house consequences can move it; unlock candidates show blocker language.,"V2-WEAVE-001, V2-WEAVE-002, V2-SANCTUM-001, V2-MIG-002",House Growth Seed,Sanctum progression no longer reads as generic hub XP or building level.,Foundation,SANCTUM-005,230,CONTINUITY,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowSanctumState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd,Echoes vNext Working GDD V2: Continuity is the Sanctum progression spine and should surface before deep building simulation.,Locked,Ready,Start Continuity as the visible growth backbone that later institutions and unlocks can hang from.,SANCTUM / BOND / VOW / VOICE,Continuity,New,Foundation
"Use the deterministic bark pipeline to surface high-signal fear, omen, refusal, and aftermath lines at the moments the player most needs interpretation.",Narrative / Content,V2-VOICE-001,Combat and return-flow UIs surface the right bark fields at controlled cadence; lines are sourced from existing deterministic state and do not own game logic.,"V2-EMOTION-001, V2-COMBAT-001",Echo Consequence Layer,The player gets useful interpretation without confusing voice with simulation authority.,Foundation,"VOICE-001, VOICE-002",220,VOICE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/echoes/http://ShoutBank.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/actors/http://ActorStateMachine.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowEchoPartyState.gd,"Echoes vNext Working GDD V2: voice should reveal becoming and pressure, not act as fake intelligence theater.",Mostly Locked,Ready,Voice becomes an interpretation layer that exposes real state changes instead of owning simulation logic.,SANCTUM / BOND / VOW / VOICE,Voice,Rewrite,Foundation
Surface active vow pressure during runs and make break or release fallout readable on return to the house.,Sanctum,V2-VOW-002,"Stage or combat UI surfaces active vow demands; break and release outcomes clearly show morale, fear, bond, and economy consequences on return.","V2-VOW-001, V2-EMOTION-001, V2-SANCTUM-001",Echo Consequence Layer,The player can see what a vow is asking and what it cost to keep or break it.,Foundation,VOW-002,190,VOW,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/sanctum/http://VowService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowVowState.gd,Echoes vNext Working GDD V2: vows should act as doctrine overlays with visible pressure and consequence.,Mostly Locked,Ready,Turn vows from a back-end rule into a readable player-facing pressure source.,SANCTUM / BOND / VOW / VOICE,Vows,Rewrite,Foundation
Carry forward the intel contract rail so discovered stage facts can be stored with reliability and used on later attempts without rebuilding the whole flow.,Realm / Tactical,V2-INTEL-001,Stage intel stores known versus unknown facts with reliability or confidence; withdrawal and failure can still return useful discoveries; snapshots show retained intel.,"V2-DIRECTIVE-001, V2-STAGE-001",Stage Influence Layer,Intel becomes a durable planning seam instead of throwaway flavor.,Alignment,INTEL-001,130,INTEL,P0,/Users/jeffreygyamfi/Sites/echoes-vnext/core/save/http://SaveSchema.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowStageMapState.gd,"Echoes vNext Working GDD V2: stage knowledge should reveal progressively, persist, and make failed runs useful.",Locked,Ready,"Preserve the useful old intel idea, but reinterpret it as persistent stage knowledge rather than a detached rumor system.",DIRECTIVE / INTEL / STAGE,Intel,Carryover,Alignment
"Add a return-to-Sanctum consequence pass so every run produces visible house, intel, emotion, vow, and bond fallout before normal hub navigation resumes.",Sanctum,V2-SANCTUM-001,"Every stage return surfaces a compact consequence panel or pulse with economy, emotion, bond, vow, and house-state changes before ordinary Sanctum navigation resumes.","V2-ECONOMY-001, V2-INTEL-001, V2-EMOTION-001",Sanctum Feedback Loop,Runs visibly alter house state even when the player fails or withdraws.,Alignment,SANCTUM-004,150,SANCTUM,P0,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowSanctumState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/http://FlowResolveState.gd,Echoes vNext Working GDD V2: post-stage consequences should be visible and feed the house as a living place.,Mostly Locked,Ready,Sanctum return should stop feeling like a silent reset and start feeling like consequence resolution.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,Rewrite,Alignment
Carry forward the lightweight bond/rival graph rail so relationship state can keep driving later V2 wholeness and consequence logic without redesigning the social substrate.,Sanctum,V2-BOND-001,"Bond and rivalry storage remains deterministic, visible, and save-safe; downstream systems can query it cleanly for V2 consequence rules.",None,Echo Consequence Layer,"The repo keeps a reusable relationship substrate for later wholeness, refusal, rescue, and fallout behavior.",Alignment,BOND-001,160,BOND,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/sanctum/http://SocialGraphService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/components/http://BondTierBar.gd,"Echoes vNext Working GDD V2: bonds remain part of person-shaping and Sanctum consequence, even though the old framing needs expansion.",Mostly Locked,Ready,"Preserve the existing bond graph seam as infrastructure, not as the final V2 bond design.",SANCTUM / BOND / VOW / VOICE,Bonds,Carryover,Alignment
